,phi_loss,phi_std,avg_pred_loss,avg_pred_std,before_loss,before_std,folder,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/alpha,config/phi_first_out,config/phi_second_out,config/discrim_hidden,config/dim_a,config/SN,logdir
386,1.5253710885252172,0.35968067180009317,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_01_47_cmd_res_ex_128_100_a5_h100_e1000,1721340259,,True,1,88e6a9e1,2024-07-18_18-04-19,3752.2357358932495,3752.2357358932495,3217185,CICSUNIX-US-003,172.31.105.37,3752.2357358932495,1,0.004350330708135385,0.015304840964342672,128,100,100,5,8,88e6a9e1
387,1.8266406888786593,0.3787819062036708,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_03_37_cmd_res_ex_128_80_a3_h100_e1000,1721340351,,True,1,58ee5387,2024-07-18_18-05-51,3733.7168474197388,3733.7168474197388,3412358,CICSUNIX-US-003,172.31.105.37,3733.7168474197388,1,0.004410306605266597,0.014723309877204249,128,80,100,3,8,58ee5387
388,2.3957356782084647,0.5229996115226249,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_05_30_cmd_res_ex_128_80_a3_h100_e1000,1721340532,,True,1,344630dd,2024-07-18_18-08-52,3801.7658643722534,3801.7658643722534,3612010,CICSUNIX-US-003,172.31.105.37,3801.7658643722534,1,0.00016800119199968336,0.01504473027183601,128,80,100,3,8,344630dd
389,1.8321367478491548,0.3702098004473011,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_15_55_cmd_res_ex_128_80_a3_h100_e1000,1721341052,,True,1,a8e1fb56,2024-07-18_18-17-32,3696.8633847236633,3696.8633847236633,526358,CICSUNIX-US-003,172.31.105.37,3696.8633847236633,1,0.004565999083067349,0.0817863047445812,128,80,100,3,8,a8e1fb56
390,1.8023379216115316,0.41594488225269255,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_17_59_cmd_res_ex_128_80_a3_h100_e1000,1721341169,,True,1,81955330,2024-07-18_18-19-29,3690.2292878627777,3690.2292878627777,745283,CICSUNIX-US-003,172.31.105.37,3690.2292878627777,1,0.004219541436523762,0.013792672158846511,128,80,100,3,8,81955330
391,1.5185977173353784,0.3561331695286312,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_29_42_cmd_res_ex_128_80_a5_h100_e1000,1721341874,,False,1,3e6d7a2a,2024-07-18_18-31-14,3691.7715225219727,3691.7715225219727,1995055,CICSUNIX-US-003,172.31.105.37,3691.7715225219727,1,0.0043735508767057734,0.013537594090213146,128,80,100,5,8,3e6d7a2a
392,1.533756367758282,0.31462580363626785,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_30_43_cmd_res_ex_128_80_a5_h100_e1000,1721341932,,True,1,cae95056,2024-07-18_18-32-12,3689.0228316783905,3689.0228316783905,2101775,CICSUNIX-US-003,172.31.105.37,3689.0228316783905,1,0.004418239925894294,0.013216401491650756,128,80,100,5,8,cae95056
393,1.517432460501444,0.40304196576760143,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_42_07_cmd_res_ex_128_100_a5_h100_e1000,1721342676,,False,1,579f602d,2024-07-18_18-44-36,3749.4194781780243,3749.4194781780243,3316130,CICSUNIX-US-003,172.31.105.37,3749.4194781780243,1,0.004369641447342223,0.013706953262820766,128,100,100,5,8,579f602d
394,1.4340447558699696,0.3409986208684663,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_42_53_cmd_res_ex_128_80_a5_h100_e1000,1721342689,,False,1,24b37d1f,2024-07-18_18-44-49,3716.2859902381897,3716.2859902381897,3397042,CICSUNIX-US-003,172.31.105.37,3716.2859902381897,1,0.004184682165004045,0.02666157520225189,128,80,100,5,8,24b37d1f
395,1.5863240705219284,0.371870128185657,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_45_17_cmd_res_ex_128_80_a5_h100_e1000,1721342858,,True,1,ea86a9dd,2024-07-18_18-47-38,3741.5391080379486,3741.5391080379486,3650124,CICSUNIX-US-003,172.31.105.37,3741.5391080379486,1,0.004227676096268178,0.01395088670308915,128,80,100,5,8,ea86a9dd
396,1.5177733768577655,0.3703702670771854,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_46_44_cmd_res_ex_128_80_a5_h100_e1000,1721342946,,False,1,d4fb125c,2024-07-18_18-49-06,3741.9683253765106,3741.9683253765106,3801568,CICSUNIX-US-003,172.31.105.37,3741.9683253765106,1,0.003891440296268255,0.014442886828857516,128,80,100,5,8,d4fb125c
397,1.4983219130404726,0.3543651340634084,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_47_40_cmd_res_ex_128_80_a5_h100_e1000,1721343014,,False,1,5cf10823,2024-07-18_18-50-14,3754.0457224845886,3754.0457224845886,3897348,CICSUNIX-US-003,172.31.105.37,3754.0457224845886,1,0.004489307670372561,0.01352189081663718,128,80,100,5,8,5cf10823
398,1.4558674072313214,0.3403500651648507,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_48_27_cmd_res_ex_128_80_a5_h100_e1000,1721343049,,False,1,c7d6e53d,2024-07-18_18-50-49,3742.2533922195435,3742.2533922195435,3977289,CICSUNIX-US-003,172.31.105.37,3742.2533922195435,1,0.004036277959785828,0.013418982099751934,128,80,100,5,8,c7d6e53d
399,3.1930926871210774,0.7288012181143844,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_49_24_cmd_res_ex_128_80_a5_h100_e1000,1721343114,,True,1,b5771458,2024-07-18_18-51-54,3749.8549954891205,3749.8549954891205,4073952,CICSUNIX-US-003,172.31.105.37,3749.8549954891205,1,0.003993365053936435,0.10020398249610135,128,80,100,5,8,b5771458
400,1.3876134120144776,0.30666510848473094,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_51_11_cmd_res_ex_128_80_a5_h100_e1000,1721343211,,False,1,858e88e9,2024-07-18_18-53-31,3739.801063299179,3739.801063299179,62017,CICSUNIX-US-003,172.31.105.37,3739.801063299179,1,0.003957459199260083,0.02664557482448812,128,80,100,5,8,858e88e9
401,1.4325611288602413,0.34385385713095346,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202417_52_20_cmd_res_ex_128_80_a5_h100_e1000,1721343246,,False,1,af9e20bc,2024-07-18_18-54-06,3706.260904312134,3706.260904312134,178363,CICSUNIX-US-003,172.31.105.37,3706.260904312134,1,0.004952582238610527,0.013086974171783445,128,80,100,5,8,af9e20bc
402,1.6081991818585095,0.39585775912729915,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,07_18_202418_04_22_cmd_res_ex_128_80_a5_h100_e1000,1721343930,,True,1,e31fbbc9,2024-07-18_19-05-30,3667.980605840683,3667.980605840683,1456447,CICSUNIX-US-003,172.31.105.37,3667.980605840683,1,0.0040641051574239985,0.013707975904126177,128,80,100,5,8,e31fbbc9
