,phi_loss,phi_std,avg_pred_loss,avg_pred_std,before_loss,before_std,folder,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/alpha,config/phi_first_out,config/phi_second_out,config/discrim_hidden,config/dim_a,config/gamma,config/SN,config/K_shot,logdir
157,1.7781592322351174,0.3633805444447131,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202418_30_10_cmd_residual,1717888912,,True,1,9b57aebf,2024-06-08_19-21-52,3102.2677586078644,3102.2677586078644,3175539,CICSUNIX-US-003,172.31.105.37,3102.2677586078644,1,0.0011632600949031584,0.11455992074424895,128,256,20,6,20,6,50,9b57aebf
158,2.0263169124366205,0.39681802614087797,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202418_38_15_cmd_residual,1717889158,,True,1,9fa94868,2024-06-08_19-25-58,2863.167483329773,2863.167483329773,3229167,CICSUNIX-US-003,172.31.105.37,2863.167483329773,1,0.0009069435153558936,0.0979601679296058,128,256,20,12,20,6,32,9fa94868
159,1.9171744839912581,0.42428515022987445,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202419_21_54_cmd_residual,1717891344,,True,1,8af6ecec,2024-06-08_20-02-24,2430.168650865555,2430.168650865555,3601138,CICSUNIX-US-003,172.31.105.37,2430.168650865555,1,0.0007657383397682137,0.10884432593238767,128,100,30,12,20,6,32,8af6ecec
160,1.9113024445214548,0.38682082046612337,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202419_26_00_cmd_residual,1717891646,,True,1,7ccd2888,2024-06-08_20-07-26,2485.4219455718994,2485.4219455718994,3616395,CICSUNIX-US-003,172.31.105.37,2485.4219455718994,1,0.000959929068118513,0.09752087492812428,128,128,30,12,20,8,32,7ccd2888
161,1.738508061519783,0.3239527390809688,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202420_02_27_cmd_residual,1717893790,,True,1,06d82e6b,2024-06-08_20-43-10,2443.030895471573,2443.030895471573,4009941,CICSUNIX-US-003,172.31.105.37,2443.030895471573,1,0.0007891803265953791,0.10840051051559249,128,100,30,12,10,8,50,06d82e6b
162,1.5310174997920978,0.3214220473359615,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202420_07_28_cmd_residual,1717894127,,False,1,380a3197,2024-06-08_20-48-47,2478.6007041931152,2478.6007041931152,4040543,CICSUNIX-US-003,172.31.105.37,2478.6007041931152,1,0.0014560393757306405,0.08196683883953787,128,128,30,12,20,8,50,380a3197
163,1.5594456740085216,0.30047971555914044,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202420_43_12_cmd_residual,1717896428,,False,1,c7b5f9a2,2024-06-08_21-27-08,2635.5981833934784,2635.5981833934784,228774,CICSUNIX-US-003,172.31.105.37,2635.5981833934784,1,0.0014237598586031457,0.10750076384261208,128,128,30,8,20,6,50,c7b5f9a2
164,2.0122652436718207,0.3937725746227975,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202420_48_48_cmd_residual,1717896687,,True,1,fd943b66,2024-06-08_21-31-27,2558.4193637371063,2558.4193637371063,265537,CICSUNIX-US-003,172.31.105.37,2558.4193637371063,1,0.0013734663673803625,0.10462852184720707,128,128,30,8,20,6,50,fd943b66
165,1.4896756096816284,0.2917112554169801,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202421_27_10_cmd_residual,1717898943,,False,1,258e0925,2024-06-08_22-09-03,2513.3338084220886,2513.3338084220886,649324,CICSUNIX-US-003,172.31.105.37,2513.3338084220886,1,0.0013627404489890578,0.08238466713387989,128,128,30,12,20,8,50,258e0925
166,1.5672339992031148,0.2994707064120223,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202421_31_29_cmd_residual,1717899216,,False,1,35add0ce,2024-06-08_22-13-36,2526.824857234955,2526.824857234955,667824,CICSUNIX-US-003,172.31.105.37,2526.824857234955,1,0.0014194176395248687,0.07774325089394842,128,128,30,12,20,8,50,35add0ce
167,1.6030840338532828,0.2992250011617741,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202422_09_05_cmd_residual,1717902038,,False,1,606f36e7,2024-06-08_23-00-38,3092.154910802841,3092.154910802841,1061553,CICSUNIX-US-003,172.31.105.37,3092.154910802841,1,0.0014340170266064452,0.08371567650297301,256,128,30,12,20,8,50,606f36e7
168,1.7119249950341024,0.3230608505766127,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202422_13_39_cmd_residual,1717901393,,True,1,71327835,2024-06-08_22-49-53,2174.608283519745,2174.608283519745,1083304,CICSUNIX-US-003,172.31.105.37,2174.608283519745,1,0.0019251939702907778,0.07818114451277507,40,128,30,12,20,8,50,71327835
169,1.5247382224864192,0.2727098713999925,8.324864239192403,2.0197420949997817,8.58272702869284,2.122717218908562,06_08_202422_49_55_cmd_residual,1717904669,,False,1,b0dc1e74,2024-06-08_23-44-29,3274.0011196136475,3274.0011196136475,1460597,CICSUNIX-US-003,172.31.105.37,3274.0011196136475,1,0.0018829027242847347,0.07534042928741352,256,128,30,12,20,8,50,b0dc1e74
