,phi_loss,phi_std,avg_pred_loss,avg_pred_std,before_loss,before_std,folder,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/alpha,config/phi_first_out,config/phi_second_out,config/discrim_hidden,config/dim_a,config/gamma,config/SN,logdir
159,2.5062371174530202,0.4912153152500012,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202416_31_07_cmd_res_ex_100_256_a6_h20_e500,1719609671,,False,1,afccd2c0,2024-06-28_17-21-11,3004.1753792762756,3004.1753792762756,402363,CICSUNIX-US-003,172.31.105.37,3004.1753792762756,1,0.0016870665852312756,0.13847049024519822,100,256,20,6,20,6,afccd2c0
160,2.539182460852132,0.4877258654613557,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202416_44_16_cmd_res_ex_100_256_a6_h100_e500,1719610459,,False,1,a100bedf,2024-06-28_17-34-19,3002.8652992248535,3002.8652992248535,1495712,CICSUNIX-US-003,172.31.105.37,3002.8652992248535,1,0.0016803621297743648,0.13811350113559423,100,256,100,6,20,6,a100bedf
161,2.97689482337241,0.6002795243381702,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202416_51_48_cmd_res_ex_100_256_a6_h100_e500,1719610968,,True,1,9177839d,2024-06-28_17-42-48,3060.214893579483,3060.214893579483,2104946,CICSUNIX-US-003,172.31.105.37,3060.214893579483,1,0.0026360404606534504,0.13942562039103945,100,256,100,6,20,6,9177839d
162,2.9808824547086576,0.6076423870293133,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202416_53_07_cmd_res_ex_100_256_a6_h100_e500,1719611048,,True,1,842018b3,2024-06-28_17-44-08,3060.65447807312,3060.65447807312,2211385,CICSUNIX-US-003,172.31.105.37,3060.65447807312,1,0.0017059732774852162,0.13522052653392203,100,256,100,6,20,6,842018b3
163,2.571445989919178,0.5054121512027124,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202416_56_42_cmd_res_ex_100_256_a6_h100_e500,1719611259,,False,1,d60c9237,2024-06-28_17-47-39,3056.8008694648743,3056.8008694648743,2501485,CICSUNIX-US-003,172.31.105.37,3056.8008694648743,1,0.0016835028983521632,0.1526426666385367,100,256,100,6,20,6,d60c9237
164,2.6566360381326892,0.5185373513529669,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_03_29_cmd_res_ex_100_256_a6_h20_e500,1719611698,,False,1,3b0c0b2d,2024-06-28_17-54-58,3089.2524342536926,3089.2524342536926,3042749,CICSUNIX-US-003,172.31.105.37,3089.2524342536926,1,0.002597162419018259,0.13808470417800597,100,256,20,6,20,6,3b0c0b2d
165,2.673232399094732,0.5293770682261912,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_05_09_cmd_res_ex_100_256_a6_h20_e500,1719611817,,False,1,c3641a13,2024-06-28_17-56-57,3107.503468990326,3107.503468990326,3170986,CICSUNIX-US-003,172.31.105.37,3107.503468990326,1,0.0027115946226422263,0.13965079216475823,100,256,20,6,20,6,c3641a13
166,2.57726491873533,0.4993618760678289,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_06_56_cmd_res_ex_100_256_a6_h100_e500,1719611927,,False,1,62d7d671,2024-06-28_17-58-47,3111.0570521354675,3111.0570521354675,3308342,CICSUNIX-US-003,172.31.105.37,3111.0570521354675,1,0.001193773300865536,0.14070121706129235,100,256,100,6,20,6,62d7d671
167,4.398977645852443,0.9533244387970643,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_07_54_cmd_res_ex_100_256_a6_h100_e500,1719611972,,True,1,fbd92e35,2024-06-28_17-59-32,3098.518791913986,3098.518791913986,3379873,CICSUNIX-US-003,172.31.105.37,3098.518791913986,1,0.002546518966965114,0.13673000663041196,100,256,100,6,20,6,fbd92e35
168,2.678054025588499,0.5361612673294398,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_10_01_cmd_res_ex_100_256_a6_h100_e500,1719612096,,True,1,2bd07ac0,2024-06-28_18-01-36,3095.332279920578,3095.332279920578,3539459,CICSUNIX-US-003,172.31.105.37,3095.332279920578,1,0.0011920289163388981,0.13822312831778458,100,256,100,6,20,6,2bd07ac0
